region,event_type,event_year,threshold_percent,event_date
Gulf of Boothia,freeze-up,1980,90.0,1980-10-08 05:14:25.960665
Gulf of Boothia,break-up,1981,10.0,
Gulf of Boothia,break-up,1981,50.0,1981-08-05 20:05:31.327433
Gulf of Boothia,break-up,1981,90.0,1981-06-26 09:19:13.398058
Gulf of Boothia,freeze-up,1981,10.0,
Gulf of Boothia,freeze-up,1981,50.0,1981-10-11 14:42:27.739333
Gulf of Boothia,freeze-up,1981,90.0,1981-11-20 01:13:52.326071
Gulf of Boothia,break-up,1982,10.0,
Gulf of Boothia,break-up,1982,50.0,1982-09-02 16:16:06.442953
Gulf of Boothia,break-up,1982,90.0,1982-06-18 23:14:15.162454
Gulf of Boothia,freeze-up,1982,10.0,
Gulf of Boothia,freeze-up,1982,50.0,1982-09-20 23:12:49.592608
Gulf of Boothia,freeze-up,1982,90.0,1982-11-04 09:30:00.000000
Gulf of Boothia,break-up,1983,10.0,
Gulf of Boothia,break-up,1983,50.0,1983-08-31 08:26:27.651598
Gulf of Boothia,break-up,1983,90.0,1983-06-14 18:12:27.143412
Gulf of Boothia,freeze-up,1983,10.0,
Gulf of Boothia,freeze-up,1983,50.0,1983-10-02 15:49:04.119646
Gulf of Boothia,freeze-up,1983,90.0,1983-11-10 05:36:33.103448
Gulf of Boothia,break-up,1984,10.0,
Gulf of Boothia,break-up,1984,50.0,1984-08-12 16:27:55.778078
Gulf of Boothia,break-up,1984,90.0,1984-06-16 17:39:27.699339
Gulf of Boothia,freeze-up,1984,10.0,
Gulf of Boothia,freeze-up,1984,50.0,1984-09-29 11:05:03.433922
Gulf of Boothia,freeze-up,1984,90.0,1984-11-13 06:22:37.714285
Gulf of Boothia,break-up,1985,10.0,
Gulf of Boothia,break-up,1985,50.0,1985-07-27 17:37:47.189030
Gulf of Boothia,break-up,1985,90.0,1985-06-09 21:31:23.274021
Gulf of Boothia,freeze-up,1985,10.0,
Gulf of Boothia,freeze-up,1985,50.0,1985-10-12 13:32:30.295192
Gulf of Boothia,freeze-up,1985,90.0,1985-11-18 07:52:50.149253
Gulf of Boothia,break-up,1986,10.0,
Gulf of Boothia,break-up,1986,50.0,1986-09-04 12:05:08.571428
Gulf of Boothia,break-up,1986,90.0,1986-06-25 14:07:28.211920
Gulf of Boothia,freeze-up,1986,10.0,
Gulf of Boothia,freeze-up,1986,50.0,1986-09-29 00:09:28.694814
Gulf of Boothia,freeze-up,1986,90.0,1986-10-17 19:54:25.116279
Gulf of Boothia,break-up,1987,10.0,
Gulf of Boothia,break-up,1987,50.0,
Gulf of Boothia,break-up,1987,90.0,1987-07-12 07:09:38.360655
Gulf of Boothia,freeze-up,1987,10.0,
Gulf of Boothia,freeze-up,1987,50.0,
Gulf of Boothia,freeze-up,1987,90.0,1987-10-18 03:34:36.190476
Gulf of Boothia,break-up,1988,10.0,
Gulf of Boothia,break-up,1988,50.0,1988-08-06 12:45:38.838572
Gulf of Boothia,break-up,1988,90.0,1988-06-26 11:58:16.568236
Gulf of Boothia,freeze-up,1988,10.0,
Gulf of Boothia,freeze-up,1988,50.0,1988-10-13 19:24:54.212818
Gulf of Boothia,freeze-up,1988,90.0,1988-11-03 18:40:27.846265
Gulf of Boothia,break-up,1989,10.0,
Gulf of Boothia,break-up,1989,50.0,1989-08-06 14:57:15.866261
Gulf of Boothia,break-up,1989,90.0,1989-06-18 12:48:08.252148
Gulf of Boothia,freeze-up,1989,10.0,
Gulf of Boothia,freeze-up,1989,50.0,1989-10-11 12:23:46.661296
Gulf of Boothia,freeze-up,1989,90.0,1989-11-01 15:52:58.700994
Gulf of Boothia,break-up,1990,10.0,
Gulf of Boothia,break-up,1990,50.0,1990-08-25 00:43:12.000000
Gulf of Boothia,break-up,1990,90.0,1990-07-16 03:53:28.888888
Gulf of Boothia,freeze-up,1990,10.0,
Gulf of Boothia,freeze-up,1990,50.0,1990-10-01 04:29:45.263157
Gulf of Boothia,freeze-up,1990,90.0,1990-10-28 04:17:34.647887
Gulf of Boothia,break-up,1991,10.0,
Gulf of Boothia,break-up,1991,50.0,1991-08-08 13:50:04.089581
Gulf of Boothia,break-up,1991,90.0,1991-06-12 04:49:16.800000
Gulf of Boothia,freeze-up,1991,10.0,
Gulf of Boothia,freeze-up,1991,50.0,1991-10-01 19:52:49.987452
Gulf of Boothia,freeze-up,1991,90.0,1991-11-06 10:34:18.189216
Gulf of Boothia,break-up,1992,10.0,
Gulf of Boothia,break-up,1992,50.0,
Gulf of Boothia,break-up,1992,90.0,1992-06-26 16:52:40.282087
Gulf of Boothia,freeze-up,1992,10.0,
Gulf of Boothia,freeze-up,1992,50.0,
Gulf of Boothia,freeze-up,1992,90.0,1992-11-05 07:45:16.564417
Gulf of Boothia,break-up,1993,10.0,
Gulf of Boothia,break-up,1993,50.0,1993-08-21 10:54:32.727272
Gulf of Boothia,break-up,1993,90.0,1993-06-22 23:45:59.533073
Gulf of Boothia,freeze-up,1993,10.0,
Gulf of Boothia,freeze-up,1993,50.0,1993-10-06 03:30:57.935627
Gulf of Boothia,freeze-up,1993,90.0,1993-11-05 16:45:42.857142
Gulf of Boothia,break-up,1994,10.0,
Gulf of Boothia,break-up,1994,50.0,1994-08-05 22:06:03.701385
Gulf of Boothia,break-up,1994,90.0,1994-06-13 13:09:45.382436
Gulf of Boothia,freeze-up,1994,10.0,
Gulf of Boothia,freeze-up,1994,50.0,1994-10-07 13:33:45.000000
Gulf of Boothia,freeze-up,1994,90.0,1994-11-19 09:47:03.791821
Gulf of Boothia,break-up,1995,10.0,
Gulf of Boothia,break-up,1995,50.0,1995-08-06 10:04:43.257090
Gulf of Boothia,break-up,1995,90.0,1995-06-13 20:42:00.000000
Gulf of Boothia,freeze-up,1995,10.0,
Gulf of Boothia,freeze-up,1995,50.0,1995-09-29 11:50:56.914285
