region,year,relative_mean_coverage_percent,absolute_mean_coverage_percent,relative_mean_ice_area_km2,absolute_mean_ice_area_km2
Hudson Bay,2005,46.89258082191781,56.569305781286275,432290.9794520548,521498.2876712329
Hudson Bay,2006,45.71784871140005,54.77557464592523,421461.41780821915,504962.3287671233
Hudson Bay,2007,48.76070917111679,58.29282563269096,449512.7876712329,537386.9863013698
Hudson Bay,2008,49.53587700287117,57.45188478281003,456658.8661202186,529634.5628415301
Hudson Bay,2009,50.78563529138612,58.538379382400734,468180.0753424658,539650.6849315069
Hudson Bay,2010,42.309744694683076,51.86292082656141,390042.9589041096,478111.30136986304
Hudson Bay,2011,46.239051961922456,55.269654051543995,426266.2602739726,509517.12328767125
Hudson Bay,2012,48.613698619987034,57.12420116699082,448157.53415300546,526613.7295081967
Hudson Bay,2013,51.17252249825865,58.494915254237284,471746.69178082194,539250.0
Hudson Bay,2014,50.451500162526116,58.97543533782214,465099.76712328766,543679.794520548
Hudson Bay,2015,48.859204829347576,57.9116786626422,450420.79452054796,533873.2876712328
Hudson Bay,2016,47.57952468278225,55.284430860424195,438623.7431693989,509653.34699453553
Hudson Bay,2017,47.459000882284656,57.12170884606454,437512.66438356164,526590.7534246575
Hudson Bay,2018,53.06642916182958,61.17780357557464,489206.1438356164,563982.8767123288
Hudson Bay,2019,51.0705021592756,58.927884838634775,470806.19178082194,543241.4383561644
Hudson Bay,2020,50.474727424284524,59.47763267574326,465313.89344262297,548309.4262295082
Hudson Bay,2021,45.31488349198978,54.27666589273275,417746.58219178085,500363.01369863015
Hudson Bay,2022,47.555222289296495,56.786812166241,438399.70547945204,523503.4246575342
Hudson Bay,2023,45.16203612723473,52.8304620385419,416337.5205479452,487030.8219178082
Hudson Bay,2024,42.20301787533574,50.228026303602846,389059.0710382514,463039.6174863388
Hudson Bay,2025,43.15528172742048,51.91873693986533,397837.7534246575,478625.8561643836
Hudson Bay Area,1979,57.008715086478226,68.11714277149966,814155.7123287672,972797.9452054794
Hudson Bay Area,1980,56.30956296110294,67.14424077196254,804170.9460382514,958903.6885245901
Hudson Bay Area,1981,54.29392404304428,65.08294115883817,775385.1027397261,929465.7534246575
Hudson Bay Area,1982,58.38804424327808,69.12190881568299,833854.256849315,987147.2602739726
Hudson Bay Area,1983,60.498804472288,71.49497916729115,863998.551369863,1021037.6712328767
Hudson Bay Area,1984,58.046656622544276,68.86202484724565,828978.8148907104,983435.7923497268
Hudson Bay Area,1985,57.568048199994,67.4634453403675,822143.6883561644,963462.3287671233
Hudson Bay Area,1986,60.81044189322862,71.80528161625851,868449.1232876712,1025469.1780821917
Hudson Bay Area,1988,55.10501813237402,64.95834593119093,786968.5402029664,927686.3778298204
Hudson Bay Area,1989,58.33067593897065,68.08405023830221,833034.9657534247,972325.3424657534
Hudson Bay Area,1990,57.36304739066575,68.37313030184947,819216.0205479452,976453.7671232877
Hudson Bay Area,1991,56.99875903000509,66.95027127484188,814013.5273972603,956133.5616438356
Hudson Bay Area,1992,61.962497638435515,72.95691788929942,884901.9193989071,1041915.9836065574
Hudson Bay Area,1993,57.91007703606007,68.1507149066275,827028.2876712328,973277.3972602739
Hudson Bay Area,1994,55.496812205869126,65.1818590569827,792563.8493150685,930878.4246575342
Hudson Bay Area,1995,54.444871077006084,64.61341086897875,777540.8150684931,922760.2739726028
Hudson Bay Area,1996,54.38571343162225,65.03198574691203,776695.9699453552,928738.0464480874
Hudson Bay Area,1997,54.614857348400825,64.8601660621684,779968.4315068494,926284.2465753425
Hudson Bay Area,1998,47.143704325409914,57.117592398309405,673271.0273972603,815710.6164383561
Hudson Bay Area,1999,48.21801600671443,59.02329066874495,688613.5410958905,842926.3698630137
Hudson Bay Area,2000,53.09036505601989,64.00927885592664,758196.7759562841,914132.5136612022
Hudson Bay Area,2001,49.14171349779682,59.2466652678277,701805.095890411,846116.4383561644
Hudson Bay Area,2002,54.17134018764425,64.66005215670992,773634.4520547945,923426.3698630137
