date,region,ice_coverage,total_water_pixel_count,valid_water_pixel_count,total_pixel_area_km2,total_water_area_km2,valid_water_area_km2,absolute_ice_area_km2,relative_ice_area_km2,absolute_coverage_percent_of_water,relative_coverage_percent_of_water
1996-12-28,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,148397.50000000003,100.0,78.36171617161718
1996-12-28,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1325154.9999999998,99.86870897155362,92.78984682713346
1996-12-05,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,625625.0,401352.50000000006,67.86440677966101,43.536542372881364
1996-12-05,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,98500.0,100.0,96.09756097560975
1996-12-05,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,185745.0,100.0,87.15307917888563
1996-12-05,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,76875.0,26819.999999999996,40.5940594059406,14.16237623762376
1996-12-05,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1019375.0,713167.5,71.37855579868709,49.93733041575492
1996-12-04,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,611250.0,397092.5,66.30508474576271,43.0744406779661
1996-12-04,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,98610.0,100.0,96.20487804878049
1996-12-04,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,179327.5,100.0,84.14193548387097
1996-12-04,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,70000.0,22165.0,36.96369636963696,11.704290429042905
1996-12-04,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,998125.0,697917.5000000001,69.89059080962801,48.869496717724296
1996-12-16,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,833750.0,646000.0000000001,90.44067796610169,70.07457627118644
1996-12-16,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,94842.5,100.0,92.52926829268293
1996-12-16,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,179282.50000000003,100.0,84.12082111436952
1996-12-16,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,146875.0,64819.99999999999,77.55775577557755,34.22838283828382
1996-12-16,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1297500.0,985425.0,90.85339168490152,69.00131291028447
1996-12-11,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,725000.0,512750.00000000006,78.64406779661017,55.62033898305086
1996-12-11,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,93929.99999999999,100.0,91.63902439024389
1996-12-11,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,172160.0,100.0,80.77888563049854
1996-12-11,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,115000.0,36910.0,60.726072607260726,19.49042904290429
